doi	state	client_id	updated	source_month
10.13128/10.13128/ahs-23289	findable	crui.unifi	2020-07-30T07:45:13Z	2020-07
10.13128/10.13128/rea-25108	findable	crui.unifi	2020-07-23T17:43:55Z	2020-07
10.13128/1970-9501-2450	findable	crui.unifi	2020-08-19T15:55:25Z	2020-08
10.13128/1970-9501-2451	findable	crui.unifi	2020-08-19T15:56:06Z	2020-08
10.13128/1970-9501-2452	findable	crui.unifi	2020-08-19T15:55:47Z	2020-08
10.13128/1970-9501-2453	findable	crui.unifi	2020-08-19T15:54:13Z	2020-08
10.13128/1970-9501-2454	findable	crui.unifi	2020-08-19T15:56:08Z	2020-08
10.13128/1970-9501-2455	findable	crui.unifi	2020-08-19T15:55:25Z	2020-08
10.13128/1970-9501-2456	findable	crui.unifi	2020-08-19T15:55:53Z	2020-08
10.13128/1970-9501-2457	findable	crui.unifi	2020-08-19T15:53:13Z	2020-08
10.13128/1970-9501-2458	findable	crui.unifi	2020-08-19T15:55:51Z	2020-08
10.13128/1970-9501-2459	findable	crui.unifi	2020-08-19T15:55:52Z	2020-08
10.13128/1970-9501-2460	findable	crui.unifi	2020-08-19T15:53:12Z	2020-08
10.13128/1970-9501-2461	findable	crui.unifi	2020-08-19T15:53:15Z	2020-08
10.13128/1970-9501-2462	findable	crui.unifi	2020-08-19T15:56:10Z	2020-08
10.13128/1970-9501-2463	findable	crui.unifi	2020-08-19T15:55:54Z	2020-08
10.13128/1970-9501-2464	findable	crui.unifi	2020-08-19T15:53:19Z	2020-08
10.13128/1970-9501-2465	findable	crui.unifi	2020-08-19T15:55:21Z	2020-08
10.13128/1970-9501-2466	findable	crui.unifi	2020-08-19T15:55:57Z	2020-08
10.13128/1970-9501-2467	findable	crui.unifi	2020-08-19T15:56:09Z	2020-08
10.13128/1970-9501-2468	findable	crui.unifi	2020-08-19T15:55:27Z	2020-08
10.13128/1970-9501-2469	findable	crui.unifi	2020-08-19T15:55:57Z	2020-08
10.13128/1970-9501-2470	findable	crui.unifi	2020-08-19T15:55:55Z	2020-08
10.13128/1970-9501-2471	findable	crui.unifi	2020-08-19T15:55:17Z	2020-08
10.13128/1970-9501-3168	findable	crui.unifi	2020-08-03T15:27:38Z	2020-08
10.13128/1970-9501-3169	findable	crui.unifi	2020-08-03T15:27:38Z	2020-08
10.13128/1970-9501-3170	findable	crui.unifi	2020-08-03T15:27:38Z	2020-08
10.13128/1970-9501-9115	findable	crui.unifi	2020-08-19T15:55:57Z	2020-08
10.13128/a_h-10016	findable	crui.unifi	2021-02-06T13:02:40Z	2021-02
10.13128/a_h-7564	findable	crui.unifi	2021-02-06T13:03:35Z	2021-02
10.13128/a_h-7648	findable	crui.unifi	2020-07-09T12:49:54Z	2020-07
10.13128/a_h-7744	findable	crui.unifi	2020-07-30T21:30:11Z	2020-07
10.13128/a_h-7745	findable	crui.unifi	2020-07-30T21:30:11Z	2020-07
10.13128/a_h-7746	findable	crui.unifi	2020-07-30T21:30:10Z	2020-07
10.13128/a_h-7747	findable	crui.unifi	2020-07-30T21:30:10Z	2020-07
10.13128/a_h-7748	findable	crui.unifi	2020-07-30T21:30:09Z	2020-07
10.13128/a_h-7749	findable	crui.unifi	2020-07-30T21:30:10Z	2020-07
10.13128/a_h-7750	findable	crui.unifi	2020-07-30T21:30:09Z	2020-07
10.13128/a_h-7751	findable	crui.unifi	2020-07-30T21:30:09Z	2020-07
10.13128/a_h-7752	findable	crui.unifi	2020-07-30T21:30:08Z	2020-07
10.13128/a_h-7753	findable	crui.unifi	2020-07-30T21:30:08Z	2020-07
10.13128/a_h-7754	findable	crui.unifi	2020-07-30T21:30:08Z	2020-07
10.13128/a_h-7755	findable	crui.unifi	2020-07-30T21:30:11Z	2020-07
10.13128/a_h-7757	findable	crui.unifi	2020-07-09T12:49:48Z	2020-07
10.13128/a_h-7771	findable	crui.unifi	2021-02-06T13:02:31Z	2021-02
10.13128/a_h-7858	findable	crui.unifi	2020-07-09T12:49:41Z	2020-07
10.13128/a_h-7863	findable	crui.unifi	2020-07-09T12:49:36Z	2020-07
10.13128/a_h-7875	findable	crui.unifi	2021-02-06T13:03:28Z	2021-02
10.13128/a_h-7903	findable	crui.unifi	2020-07-09T12:49:30Z	2020-07
10.13128/a_h-8119	findable	crui.unifi	2020-07-09T12:49:26Z	2020-07
10.13128/a_h-8370	findable	crui.unifi	2021-02-06T13:03:22Z	2021-02
10.13128/a_h-8437	findable	crui.unifi	2021-02-06T13:03:14Z	2021-02
10.13128/a_h-8448	findable	crui.unifi	2020-07-09T12:49:21Z	2020-07
10.13128/a_h-8478	findable	crui.unifi	2021-02-06T13:03:09Z	2021-02
10.13128/a_h-8744	findable	crui.unifi	2020-07-09T12:49:15Z	2020-07
10.13128/a_h-8871	findable	crui.unifi	2020-07-09T12:49:12Z	2020-07
10.13128/a_h-9058	findable	crui.unifi	2021-02-06T13:03:02Z	2021-02
10.13128/a_h-9206	findable	crui.unifi	2021-02-06T13:02:55Z	2021-02
10.13128/a_h-9670	findable	crui.unifi	2021-02-06T13:02:48Z	2021-02
10.13128/acta_herpetol-10129	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-10193	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-10224	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-10286	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-10447	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-10467	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-10472	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
